enterprise_id,scripted_stress,performance_multiplier
GJVA855866,True,1.145
GJBA366877,False,1.359
GJSU980021,False,0.707
GJPA977105,False,1.149
GJPE496687,False,1.521
GJRA969379,False,0.37
GJHI928693,False,1.496
GJJA325591,False,0.716
GJGA800845,False,0.544
GJPO193650,False,0.792
GJKA947250,False,1.727
GJNA799022,True,0.459
GJBH336193,False,1.077
GJGA258964,False,1.749
GJJA775207,False,0.858
GJGO637379,False,0.35
GJPE171612,False,1.644
GJAN586302,False,1.12
GJWA922463,False,2.964
GJNA295406,False,0.639
GJAM462937,False,1.383
GJMA981278,False,1.18
GJDE399319,True,1.2
GJPA438604,False,0.858
GJSU068636,True,1.74
GJAM462066,False,1.147
GJNA776302,False,1.63
GJBA921116,False,1.128
GJVA669061,True,0.524
GJGA748777,False,2.097
GJHI671111,False,1.627
GJME381595,False,0.952
GJME875163,False,0.585
GJJA020097,False,0.923
GJNA956742,False,1.094
GJAH447997,False,1.083
GJGO086628,False,1.23
GJDH151724,False,1.946
GJDH886984,True,1.178
GJBH917257,False,1.258
GJRA357038,False,0.482
GJPA685179,False,0.824
GJDA060068,False,0.584
GJPA434302,False,0.646
GJVA695101,True,0.921
GJAN771349,False,1.306
GJNA034904,False,0.986
GJPA275998,True,0.965
GJVA576978,False,1.259
GJPA685978,False,2.365
GJMO617879,True,1.65
GJRA308633,False,0.984
GJGO058024,True,1.455
GJVY326786,False,0.623
GJDE331636,False,1.705
GJDA366075,False,0.754
GJME448596,False,0.928
GJGO432106,False,1.728
GJSA920033,True,0.35
GJJU021431,False,0.35
GJNA663511,False,1.011
GJKA152183,False,0.725
GJME033208,True,0.552
GJAH117414,False,0.455
GJVI052624,False,0.908
GJJU916402,False,0.528
GJVY488715,False,0.623
GJBO378568,True,0.597
GJDH442620,False,0.512
GJGA495543,False,0.785
GJKA378015,True,1.108
GJMA655320,False,0.766
GJPE240820,False,1.137
GJSU148592,False,1.482
GJJU971713,True,0.558
GJGO304141,False,0.866
GJBO343828,True,0.879
GJSA306191,False,1.496
GJKA404655,False,1.395
GJWA360041,False,0.672
GJPA452975,False,0.553
GJUN368209,False,0.465
GJMA089852,False,1.538
GJUN106695,False,0.504
GJJE688726,False,0.67
GJAN307979,False,1.333
GJPE222211,False,1.844
GJAN371510,False,0.872
GJHA418569,False,1.042
GJHI672414,False,1.276
GJVA958742,True,0.633
GJRA353286,True,0.511
GJBH517576,True,1.288
GJVA020178,False,1.569
GJJE169048,False,0.813
GJNA367861,False,0.727
GJGA874567,False,1.692
GJAM193681,False,0.566
GJAN009981,True,0.685
GJDA084676,False,0.557
GJCH714487,True,0.577
GJSA871263,False,2.314
GJJE926921,True,0.996
GJVA556358,False,2.342
GJPE442557,False,0.598
GJNA354064,False,0.599
GJME179415,False,0.892
GJSA105745,False,0.738
GJME690504,False,0.779
GJJA546904,False,0.652
GJDA478824,False,0.601
GJJE673177,False,1.32
GJSU623112,False,0.94
GJCH043551,False,1.854
GJGA775399,False,0.627
GJBH136007,False,3.071
GJPA404328,False,1.042
GJGO891797,False,0.873
GJGA512496,False,0.516
GJJA988242,False,0.813
GJBO967404,False,0.501
GJMO463685,False,1.114
GJAH955528,True,0.35
GJSU509864,False,0.772
GJAH606679,False,1.355
GJGO587075,False,1.541
GJSA198227,False,1.296
GJME743884,False,0.94
GJJU718009,True,0.61
GJAN229260,False,1.255
GJGA144773,False,0.628
GJJU840904,False,0.35
GJPO202928,False,2.634
GJVA787174,True,0.496
GJMO763474,False,0.765
GJKA183907,False,0.602
GJGA805453,False,0.709
GJSU706133,False,1.517
GJAH393842,False,1.852
GJSA220523,False,0.969
GJSU687356,True,1.304
GJSU000755,True,1.25
GJSA969162,False,1.035
GJSA068166,False,2.15
GJBH621494,False,0.776
GJAN556639,False,0.497
GJGO998556,False,0.803
GJAN791781,False,0.649
GJHA391132,False,2.586
GJMA535718,True,2.482
GJSA897247,False,1.44
GJAN965919,False,1.736
GJDA595448,False,1.077
GJSU889109,True,0.708
GJSA235382,True,0.824
GJVA627327,False,0.692
GJPE784903,True,2.685
GJHA707572,False,0.46
GJAH693558,False,0.613
GJVI984283,False,1.784
GJBH632008,False,0.599
GJVI717380,False,1.34
GJNA729669,False,2.371
GJGA954182,False,0.939
GJAH453688,False,0.654
GJUN615629,True,2.409
GJBH659255,False,1.597
GJAH604651,False,0.456
GJSU081121,False,1.291
GJBH493942,False,0.976
GJGO021731,False,0.49
GJVY740176,False,1.929
GJWA893924,False,1.202
GJAH107933,False,0.496
GJGA210565,False,1.53
GJVA785277,False,3.2
GJJA502738,False,0.441
GJDE399425,True,1.135
GJSU377081,False,0.965
GJSU157867,False,0.983
